Folder,Sub-folder,File,Current Squiz link,New squiz link
,,pexels-ketut-subiyanto-4349954.jpg,https://www.deakin.edu.au/__data/assets/image/0004/2729281/pexels-ketut-subiyanto-4349954.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-ketut-subiyanto-4349954.jpg
,,pexels-rdne-stock-project-10474224.jpg,https://www.deakin.edu.au/__data/assets/image/0005/2729282/pexels-rdne-stock-project-10474224.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-rdne-stock-project-10474224.jpg
,,pexels-polina-tankilevitch-3735168.jpg,https://www.deakin.edu.au/__data/assets/image/0006/2729283/pexels-polina-tankilevitch-3735168.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-polina-tankilevitch-3735168.jpg
,,pexels-ketut-subiyanto-4473496.jpg,https://www.deakin.edu.au/__data/assets/image/0007/2729284/pexels-ketut-subiyanto-4473496.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-ketut-subiyanto-4473496.jpg
,,pexels-stanley-morales-3186386.jpg,https://www.deakin.edu.au/__data/assets/image/0008/2729285/pexels-stanley-morales-3186386.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-stanley-morales-3186386.jpg
,,pexels-fauxels-3183197.jpg,https://www.deakin.edu.au/__data/assets/image/0009/2729286/pexels-fauxels-3183197.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-fauxels-3183197.jpg
,,pexels-rdne-stock-project-6646918.jpg,https://www.deakin.edu.au/__data/assets/image/0010/2729287/pexels-rdne-stock-project-6646918.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-rdne-stock-project-6646918.jpg
,,rolesPYRAMID.jpg,https://www.deakin.edu.au/__data/assets/image/0011/2729288/rolesPYRAMID.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/rolesPYRAMID.jpg
,,Picture1.png,https://www.deakin.edu.au/__data/assets/image/0012/2729289/Picture1.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Picture1.png
,,rolesPYRAMID2.jpg,https://www.deakin.edu.au/__data/assets/image/0017/2730032/rolesPYRAMID2.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/rolesPYRAMID2.jpg
,,FreelancingHUB-Email-Banner-1.png,https://www.deakin.edu.au/__data/assets/image/0007/2730688/FreelancingHUB-Email-Banner-1.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/FreelancingHUB-Email-Banner-1.png
,,FreelancingHUB-Email-Banner-2.png,https://www.deakin.edu.au/__data/assets/image/0009/2730690/FreelancingHUB-Email-Banner-2.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/FreelancingHUB-Email-Banner-2.png
,,pexels-vlada-karpovich-4050315.jpg,https://www.deakin.edu.au/__data/assets/image/0011/2731934/pexels-vlada-karpovich-4050315.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-vlada-karpovich-4050315.jpg
